"","Site","Latitude","Longitude","Elevation","AvgDepth","AvgTemp"
"1","HarryPotter",70.032,-152.194,12.3,2.3,5.6
"2","Hipbone",70.236,-152.186,21,2,10.7
"3","Iceshove",70.17,-152.785,20.3,1.8,10.9
"4","L9817",70.233,-151.339,16.1,2.6,5.9
"5","L9819",70.27,-151.355,8.2,1.7,5.6
"6","L9820",70.267,-151.387,9.5,1.1,5.5
"7","LittleAlaska",70.032,-152.194,28.9,1.2,5.2
"8","LowerSnowman",70.097,-152.074,27.4,1.2,7.2
"9","M9925",70.247,-151.478,14.7,0.9,7
"10","MiddleSnowman",70.113,-152.077,26.3,1.1,6.4
"11","Serenity",70.246,-152.141,12,3.9,10.7
